pid, type, accuracy, time
1, donor, 100.0, 445
2, non-donor, 100.0, 615
3, donor, 84.21, 349
4, non-donor, 100.0, 345
5, donor, 100.0, 406
6, non-donor, 100.0, 444
7, donor, 100.0, 445
8, non-donor, 100.0, 367
