pid, type, accuracy, time
1, donor, 100.0, 270
2, non-donor, 100.0, 249
3, donor, 75.0, 168
4, non-donor, 100.0, 168
5, donor, 100.0, 420
6, non-donor, 100.0, 171
7, donor, 100.0, 189
8, non-donor, 100.0, 206
