pid,device,amplitude,width,time,correct
2,trackpad,300,60,840,true
2,trackpad,300,60,1056,true
2,trackpad,300,60,788,true
2,trackpad,300,60,889,true
2,trackpad,300,60,706,true
2,trackpad,300,60,857,true
2,trackpad,300,60,688,true
2,trackpad,300,60,789,true
2,trackpad,300,60,790,true
2,trackpad,300,60,705,true
2,trackpad,300,60,657,true
2,trackpad,300,60,738,true
2,trackpad,300,60,755,true
2,trackpad,150,60,838,true
2,trackpad,150,60,940,true
2,trackpad,150,60,905,true
2,trackpad,150,60,806,true
2,trackpad,150,60,738,true
2,trackpad,150,60,688,true
2,trackpad,150,60,639,true
2,trackpad,150,60,606,true
2,trackpad,150,60,672,true
2,trackpad,150,60,639,true
2,trackpad,150,60,639,true
2,trackpad,150,60,606,true
2,trackpad,150,60,607,true
2,trackpad,150,60,872,true
2,trackpad,150,60,689,true
2,trackpad,150,40,841,true
2,trackpad,150,40,937,true
2,trackpad,150,40,807,true
2,trackpad,150,40,722,true
2,trackpad,150,40,740,true
2,trackpad,150,40,789,true
2,trackpad,150,40,672,true
2,trackpad,150,40,673,true
2,trackpad,150,40,738,true
2,trackpad,150,40,639,true
2,trackpad,150,40,789,true
2,trackpad,150,40,805,true
2,trackpad,150,40,773,true
2,trackpad,150,40,738,true
2,trackpad,150,40,706,true
2,trackpad,300,20,722,true
2,trackpad,300,20,890,true
2,trackpad,300,20,972,true
2,trackpad,300,20,939,true
2,trackpad,300,20,1174,true
2,trackpad,300,20,926,true
2,trackpad,300,20,940,true
2,trackpad,300,20,1022,true
2,trackpad,300,20,905,true
2,trackpad,300,20,850,true
2,trackpad,300,20,722,true
2,trackpad,300,20,855,true
2,trackpad,300,20,856,true
2,trackpad,300,20,943,true
2,trackpad,300,20,785,true
2,trackpad,150,20,640,true
2,trackpad,150,20,671,true
2,trackpad,150,20,705,true
2,trackpad,150,20,823,true
2,trackpad,150,20,804,true
2,trackpad,150,20,907,true
2,trackpad,150,20,955,true
2,trackpad,150,20,737,true
2,trackpad,150,20,839,true
2,trackpad,150,20,840,true
2,trackpad,150,20,856,true
2,trackpad,150,20,939,true
2,trackpad,150,20,1022,true
2,trackpad,150,20,823,true
2,trackpad,150,20,790,true
2,trackpad,600,20,2027,true
2,trackpad,600,20,1059,true
2,trackpad,600,20,1222,true
2,trackpad,600,20,1057,true
2,trackpad,600,20,1127,true
2,trackpad,600,20,1044,true
2,trackpad,600,20,1123,true
2,trackpad,600,20,1323,true
2,trackpad,600,20,1302,true
2,trackpad,600,20,1106,true
2,trackpad,600,20,1059,true
2,trackpad,600,20,870,true
2,trackpad,600,20,1341,true
2,trackpad,600,20,1005,true
2,trackpad,600,20,1207,true
3,trackpad,150,20,816,false
3,trackpad,150,20,866,true
3,trackpad,150,20,770,true
3,trackpad,150,20,698,true
3,trackpad,150,20,783,false
3,trackpad,150,20,833,true
3,trackpad,150,20,834,true
3,trackpad,150,20,633,true
3,trackpad,150,20,683,true
3,trackpad,150,20,734,true
3,trackpad,150,20,734,true
3,trackpad,150,20,782,true
3,trackpad,150,20,784,true
3,trackpad,150,20,649,true
3,trackpad,150,20,784,true
3,trackpad,300,20,866,true
3,trackpad,300,20,1016,true
3,trackpad,300,20,917,true
3,trackpad,300,20,1082,true
3,trackpad,300,20,884,true
3,trackpad,300,20,867,true
3,trackpad,300,20,800,true
3,trackpad,300,20,800,true
3,trackpad,300,20,1067,true
3,trackpad,300,20,800,true
3,trackpad,300,20,883,true
3,trackpad,300,20,949,true
3,trackpad,300,20,867,true
3,trackpad,300,20,834,false
3,trackpad,300,20,1050,true
3,trackpad,300,60,682,true
3,trackpad,300,60,552,true
3,trackpad,300,60,565,true
3,trackpad,300,60,666,true
3,trackpad,300,60,600,true
3,trackpad,300,60,583,true
3,trackpad,300,60,733,true
3,trackpad,300,60,550,true
3,trackpad,300,60,600,true
3,trackpad,300,60,517,true
3,trackpad,300,60,583,true
3,trackpad,300,60,516,true
3,trackpad,300,60,599,true
3,trackpad,300,60,767,true
3,trackpad,300,60,584,true
3,trackpad,150,40,500,true
3,trackpad,150,40,516,true
3,trackpad,150,40,551,true
3,trackpad,150,40,500,true
3,trackpad,150,40,866,true
3,trackpad,150,40,583,true
3,trackpad,150,40,534,true
3,trackpad,150,40,500,true
3,trackpad,150,40,516,true
3,trackpad,150,40,501,true
3,trackpad,150,40,566,true
3,trackpad,150,40,517,true
3,trackpad,150,40,517,true
3,trackpad,150,40,583,true
3,trackpad,150,40,583,true
3,trackpad,600,40,1051,true
3,trackpad,600,40,700,true
3,trackpad,600,40,801,true
3,trackpad,600,40,832,true
3,trackpad,600,40,734,true
3,trackpad,600,40,850,true
3,trackpad,600,40,800,true
3,trackpad,600,40,866,true
3,trackpad,600,40,901,true
3,trackpad,600,40,849,true
3,trackpad,600,40,851,true
3,trackpad,600,40,800,true
3,trackpad,600,40,884,true
3,trackpad,600,40,748,true
3,trackpad,600,40,734,true
3,trackpad,300,40,684,true
3,trackpad,300,40,566,true
3,trackpad,300,40,484,true
3,trackpad,300,40,599,true
3,trackpad,300,40,700,true
3,trackpad,300,40,568,true
3,trackpad,300,40,532,true
3,trackpad,300,40,683,true
3,trackpad,300,40,768,true
3,trackpad,300,40,866,true
3,trackpad,300,40,601,true
3,trackpad,300,40,599,true
3,trackpad,300,40,633,true
3,trackpad,300,40,567,true
3,trackpad,300,40,767,true
3,trackpad,600,60,800,true
3,trackpad,600,60,717,true
3,trackpad,600,60,683,true
3,trackpad,600,60,567,true
3,trackpad,600,60,650,true
3,trackpad,600,60,750,true
3,trackpad,600,60,883,true
3,trackpad,600,60,2052,true
3,trackpad,600,60,983,true
3,trackpad,600,60,933,true
3,trackpad,600,60,751,true
3,trackpad,600,60,715,true
3,trackpad,600,60,833,true
3,trackpad,600,60,684,true
3,trackpad,600,60,766,true
3,trackpad,150,60,535,true
3,trackpad,150,60,516,true
3,trackpad,150,60,567,false
3,trackpad,150,60,565,true
3,trackpad,150,60,584,false
3,trackpad,150,60,549,true
3,trackpad,150,60,518,true
3,trackpad,150,60,532,true
3,trackpad,150,60,551,false
3,trackpad,150,60,566,false
3,trackpad,150,60,519,false
3,trackpad,150,60,598,true
3,trackpad,150,60,584,true
3,trackpad,150,60,550,true
3,trackpad,150,60,599,true
3,trackpad,600,20,918,false
3,trackpad,600,20,583,true
3,trackpad,600,20,1167,true
3,trackpad,600,20,1282,true
3,trackpad,600,20,1233,true
3,trackpad,600,20,1050,true
3,trackpad,600,20,1000,true
3,trackpad,600,20,1050,true
3,trackpad,600,20,1017,true
3,trackpad,600,20,849,true
3,trackpad,600,20,916,true
3,trackpad,600,20,1018,true
3,trackpad,600,20,1033,true
3,trackpad,600,20,1133,true
3,trackpad,600,20,1118,true
